"Source:","C:\Users\andy\OneDrive\Documents\DJet ECU Tester V2\trunk\DJet ECU Tester\PCB\DJetECUTester\DJetECUTester.sch"
"Date:","26/09/2022 21:35:14"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","136"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#","manf2#","psu"
"","","Q8","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"","","Q9","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"","","Q10","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"","","Q11","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"","","Q12","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"","","R1","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R2","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R3","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R4","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R6","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R7","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R9","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R10","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R11","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R12","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R14","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R15","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R16","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R17","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R19","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R20","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R21","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R22","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R23","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R24","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R25","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R26","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R27","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R28","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R29","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R30","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R31","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R32","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R33","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R34","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R35","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R36","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R37","11k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R38","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R39","11k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R40","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R41","11k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R42","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R43","11k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R44","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R45","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R46","50","Device:R_POT","Britishideas:Potentometer_Bourns_PV36W","~","PV36W500C01B00","",""
"","","R47","50","Device:R_POT","Britishideas:Potentometer_Bourns_PV36W","~","PV36W500C01B00","",""
"","","R48","4k2","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R49","4k2","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R50","50","Device:R_POT","Britishideas:Potentometer_Bourns_PV36W","~","PV36W500C01B00","",""
"","","R51","50","Device:R_POT","Britishideas:Potentometer_Bourns_PV36W","~","PV36W500C01B00","",""
"","","R52","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R53","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","R54","2k6","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"","","U1","ATmega328P","BritishIdeas:ATmega328P","Package_QFP:LQFP-32_7x7mm_P0.8mm","","ATMEGA328P-AUR","",""
"","","U2","LM2596S-5","Regulator_Switching:LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","LM2596S-5.0/NOPB","",""
"","","U3","FT232RL","Interface_USB:FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","FT232RL-REEL","",""
"","","U4","MCP41HV51-502E-ST","BritishIdeas:MCP41HV51-502E-ST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","MCP41HV51-502E/ST","MCP41HV31-502E/ST",""
"","","U5","MCP41HV51-502E-ST","BritishIdeas:MCP41HV51-502E-ST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","MCP41HV51-502E/ST","MCP41HV31-502E/ST",""
"","","U6","MCP23S08T-E_SO","BritishIdeas:MCP23S08T-E_SO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","","","",""
"","","U7","MCP41HV51-502E-ST","BritishIdeas:MCP41HV51-502E-ST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","MCP41HV51-502E/ST","MCP41HV31-502E/ST",""
"","","Y1","FA-238 16.0000MB-C3","Device:Crystal_GND24","Britishideas:FA-238","~","FA-238 16.0000MB-C3","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#","manf2#","psu"
"1","1","C1","4.7uF e","Device:CP","Capacitor_SMD:CP_Elec_4x5.8","~","","",""
"2","11","C2, C9, C11, C13, C14, C15, C16, C17, C18, C19, C20","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"3","2","C3, C6","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"4","2","C4, C5","18pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"5","1","C7","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","",""
"6","1","C8","680uF e","Device:CP","Capacitor_SMD:CP_Elec_10x10.5","~","","",""
"7","1","C10","220uF e","Device:CP","Capacitor_SMD:CP_Elec_8x6.5","~","","",""
"8","1","C12","4.7uF 16V e","Device:CP","Capacitor_SMD:CP_Elec_4x5.8","~","","",""
"9","7","D1, D4, D5, D6, D7, D9, D10","MBR0520LT1G","Device:D","Britishideas:SOD-123","~","MBR0520LT1G","",""
"10","1","D2","B360A-13-F","Device:D_Schottky","Diode_SMD:D_SMA","~","B360A-13-F","",""
"11","1","D3","PWR","Device:LED","LED_SMD:LED_PLCC-2","~","","",""
"12","2","D8, D11","RED","Device:LED","LED_SMD:LED_PLCC-2","~","","",""
"13","1","FB1","MI0805K400R-10","Device:Ferrite_Bead","Resistor_SMD:R_0805_2012Metric","~","MI0805K400R-10","",""
"14","1","J1","ISP","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","",""
"15","1","J2","ECU1","Connector:Screw_Terminal_01x08","Britishideas:PhoenixContact_COMBICON_PT_8","~","1935831","",""
"16","1","J3","USB_B_Mini","DJetECUTester-rescue:USB_B_Mini-Connector","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","~","65100516121","",""
